molid,deltaz,inert,active,delBE_dft,delBE_alc
0.6.7_Tl-0.3.6_Re,3,0:6:7,0:3:6,0.88796985,1.5978
0.6_Tl-4.7_Re,3,0:6,4:7,-0.03445642,0.1677
0.6_Au-3.4_Ir,1,0:6,3:4,0.07006169,0.1047
3.6.7_Au-2.3.6_Ir,1,3:6:7,2:3:6,0.07636618,0.1003
6_Ir-2_Au,1,6,2,-0.01341628,-0.0337
0.3.7_Ir-2.3.7_Au,1,0:3:7,2:3:7,-0.07732023,-0.0898
0_Tl-4_Re,3,0,4,-0.02403893,0.0339
7_Ir-0_Au,1,7,0,-0.43650614,-0.4427
6_Hg-0_Os,2,6,0,0.52661312,0.8894
0_Os-3_Hg,2,0,3,-0.09733174,-0.1282
6_Re-6_Tl,3,6,6,-0.03674338,-0.0774
3.7_Au-3.4_Ir,1,3:7,3:4,0.0561863,0.0814
0.3.6_Hg-0.6.7_Os,2,0:3:6,0:6:7,0.49064257,0.8704
6.7_Ir-0.2_Au,1,6:7,0:2,-0.40944029,-0.4764
6_Tl-3_Re,3,6,3,0.14259495,0.2802
3_Ir-0_Au,1,3,0,-0.39345956,-0.3941
6_Ir-3_Au,1,6,3,-0.07498223,-0.0934
0.3.6_Tl-0.6.7_Re,3,0:3:6,0:6:7,0.64611385,1.3056
6_Os-6_Hg,2,6,6,-0.0284569,-0.0516
0.3.6_Hg-2.3.4_Os,2,0:3:6,2:3:4,0.09718492,0.1756
0.6_Tl-2.7_Re,3,0:6,2:7,0.01371006,0.147
0.6_Hg-2.3_Os,2,0:6,2:3,0.11124836,0.1956
6_Ir-6_Au,1,6,6,-0.01299827,-0.0258
3.7_Tl-2.3_Re,3,3:7,2:3,0.09838654,0.2235
0_Os-7_Hg,2,0,7,-0.14196578,-0.0306
0.3.7_Tl-4.6.7_Re,3,0:3:7,4:6:7,-0.09475552,0.0872999999999
0.6_Au-4.7_Ir,1,0:6,4:7,0.00665146,0.0559
0.3.6_Au-0.6.7_Ir,1,0:3:6,0:6:7,0.29973793,0.4352
7_Re-4_Tl,3,7,4,-0.03065277,-0.1158
3.6_Tl-0.6_Re,3,3:6,0:6,0.74838451,1.2597
7_Ir-4_Au,1,7,4,-0.02837888,-0.0386
3.6_Au-0.4_Ir,1,3:6,0:4,0.31578224,0.4347
3_Ir-3_Au,1,3,3,-0.02901664,-0.0428
0.3.6.7_Au-0.3.4.6_Ir,1,0:3:6:7,0:3:4:6,0.38517059,0.5226
3.6.7_Hg-2.3.6_Os,2,3:6:7,2:3:6,0.14523162,0.2006
0_Ir-7_Au,1,0,7,-0.03308227,-0.0153
0.3.6_Tl-2.3.4_Re,3,0:3:6,2:3:4,0.14231455,0.2634
3.6.7_Hg-0.3.7_Os,2,3:6:7,0:3:7,0.51661587,1.0602
3_Au-2_Ir,1,3,2,-0.01796072,-0.0169
0.6_Os-3.7_Hg,2,0:6,3:7,-0.27540623,-0.2174
0.6_Re-3.7_Tl,3,0:6,3:7,-0.45475267,-0.3261
6.7_Re-4.7_Tl,3,6:7,4:7,-0.31350319,-0.2496
7_Os-0_Hg,2,7,0,-0.58484961,-0.8854
7_Os-7_Hg,2,7,7,-0.15985735,-0.0852
0_Au-0_Ir,1,0,0,0.29900789,0.4154
7_Ir-7_Au,1,7,7,-0.05717666,-0.0426
0.3_Os-2.4_Hg,2,0:3,2:4,0.02508581,0.0112
0_Os-2_Hg,2,0,2,0.03579789,-0.00879999999998
7_Re-7_Tl,3,7,7,-0.23173686,-0.1278
7_Tl-7_Re,3,7,7,-0.05430832,0.1278
0.6.7_Au-0.3.6_Ir,1,0:6:7,0:3:6,0.39669066,0.5326
3.7_Hg-3.6_Os,2,3:7,3:6,0.10227256,0.1332
0_Hg-0_Os,2,0,0,0.48130905,0.8308
0.6.7_Tl-0.4.6_Re,3,0:6:7,0:4:6,0.87908162,1.4394
0.7_Hg-0.2_Os,2,0:7,0:2,0.56908481,0.8942
7_Os-4_Hg,2,7,4,-0.03923851,-0.0772
6_Re-7_Tl,3,6,7,-0.27978591,-0.1338
3_Hg-4_Os,2,3,4,-0.04588741,-0.02
0_Re-6_Tl,3,0,6,-0.01910282,0.0105000000001
0.6_Os-0.7_Hg,2,0:6,0:7,-0.70205596,-0.92
0.6.7_Re-0.2.3_Tl,3,0:6:7,0:2:3,-0.63936516,-1.6215
0.6_Ir-0.7_Au,1,0:6,0:7,-0.45923854,-0.46
0.3_Os-0.6_Hg,2,0:3,0:6,-0.54046089,-0.7812
6.7_Hg-3.4_Os,2,6:7,3:4,0.16752132,0.264
6.7_Au-3.4_Ir,1,6:7,3:4,0.10342056,0.132
3_Re-3_Tl,3,3,3,-0.08160178,-0.1284
