molid,deltaz,inert,active,delBE_dft,delBE_alc
2.3.6_Au-0.4.6_Ir,1,2:3:6,0:4:6,0.36505936,0.5779
2_Ir-3_Au,1,2,3,-0.0884275,-0.0877
0.2.6.7_Tl-2.3.4.7_Re,3,0:2:6:7,2:3:4:7,0.11841793,0.6924
2.6.7_Os-0.2.4_Hg,2,2:6:7,0:2:4,-1.13708867,-1.2624
0.7_Os-0.3_Hg,2,0:7,0:3,-1.26734925,-1.3228
0.2.7_Au-0.6.7_Ir,1,0:2:7,0:6:7,0.3689199,0.6284
2.6.7_Au-2.3.6_Ir,1,2:6:7,2:3:6,0.13696783,0.2052
7_Ir-7_Au,1,7,7,-0.0684631,-0.065
2.6.7_Ir-2.3.7_Au,1,2:6:7,2:3:7,-0.19112972,-0.2111
0.3.6.7_Tl-0.4.6.7_Re,3,0:3:6:7,0:4:6:7,0.59728002,1.9596
2.3.6_Tl-0.4.6_Re,3,2:3:6,0:4:6,0.55289298,1.7337
0.7_Re-6.7_Tl,3,0:7,6:7,-0.38305681,-0.2991
0.6_Au-3.6_Ir,1,0:6,3:6,0.08952249,0.1547
2.6.7_Os-4.6.7_Hg,2,2:6:7,4:6:7,-0.29822335,-0.2622
7_Hg-4_Os,2,7,4,0.03968482,0.0882
7_Hg-2_Os,2,7,2,0.09799364,0.1216
7_Re-0_Tl,3,7,0,-1.43885522,-1.6902
3.6_Au-0.7_Ir,1,3:6,0:7,0.31809667,0.5744
0_Hg-0_Os,2,0,0,0.42336452,1.078
0.2.6.7_Ir-2.3.6.7_Au,1,0:2:6:7,2:3:6:7,-0.17854288,-0.2458
3.6.7_Au-0.2.6_Ir,1,3:6:7,0:2:6,0.42869266,0.6293
0_Re-2_Tl,3,0,2,-0.05331303,-0.1092
3.6_Hg-3.6_Os,2,3:6,3:6,0.05816943,0.255
2_Os-7_Hg,2,2,7,-0.19087688,-0.0606
0.3.6.7_Os-0.3.4.6_Hg,2,0:3:6:7,0:3:4:6,-1.37195706,-1.4212
6.7_Ir-2.3_Au,1,6:7,2:3,-0.1467862,-0.1808
0_Ir-2_Au,1,0,2,-0.02159143,-0.0364
6.7_Au-2.4_Ir,1,6:7,2:4,0.0990388,0.1025
0.7_Os-0.2_Hg,2,0:7,0:2,-1.10143569,-1.1996
6_Re-0_Tl,3,6,0,-1.40751767,-1.683
6_Ir-0_Au,1,6,0,-0.64033855,-0.561
0_Tl-7_Re,3,0,7,-0.1349827,0.1218
7_Tl-6_Re,3,7,6,0.07491905,0.1773
7_Au-6_Ir,1,7,6,0.04641847,0.0591
0.6_Tl-3.6_Re,3,0:6,3:6,0.06910083,0.4641
0.6.7_Tl-2.4.7_Re,3,0:6:7,2:4:7,0.14069001,0.4293
